bookID,isbn,title,authors,categories,published_year,average_rating,num_pages,ratings_count
72,7151241,The Family Way,Tony Parsons,Parenthood,2005,3.51,400,2095
73,7151675,Endless Night,Agatha Christie,FICTION,2002,3.77,303,12740
74,7153589,How to be Alone,Jonathan Franzen,Literary Collections,2004,3.6,306,327
75,7154844,The Mysterious Mr. Quin,Agatha Christie,Detective and mystery stories,2003,3.72,396,7514
76,7154887,The Listerdale Mystery,Agatha Christie,Detective and mystery stories,2003,3.55,317,178
77,7158050,The Real Trial of Oscar Wilde,Merlin Holland,Biography & Autobiography,2004,4.04,384,183
78,7158513,I Can Read with Me Eyes Shut!,Dr. Seuss,"Authors, American",2003,4.2,48,16561
79,7158521,"Oh, the Places You'll Go!",Dr. Seuss,Adventure stories,2003,4.35,48,926
80,7162995,If I Die in a Combat Zone,Tim O'Brien,"Vietnam War, 1961-1975",2003,3.95,208,11
81,7171994,The Return of the King,J. R. R. Tolkien,"Baggins, Frodo (Fictitious character)",2003,4.52,554,253
82,7173024,The Silmarillion,John Ronald Reuel Tolkien;Ted Nasmith,Fiction,2004,3.91,386,49
83,7173130,I Wish that I Had Duck Feet,Dr. Seuss;Barney Tobey,Children's stories,2004,4.16,64,8903
84,7175221,Oh Say Can You Say?,Dr. Seuss,Children's stories,2004,4.01,36,5726
85,7178638,There's a Boy in the Girls' Bathroom,Louis Sachar,Boys,2004,3.98,208,174
86,7179812,Microserfs,Douglas Coupland,Computer programmers,2004,3.88,371,436
87,7179820,Miss Wyoming,Douglas Coupland,Actors,2004,3.48,320,110
88,7189958,Where Rainbows End,Cecelia Ahern,Friendship,2004,3.94,454,642
89,7190689,Poirot,Agatha Christie,Authors,2005,4.2,727,83
90,7191928,The Art of The Lord of the Rings,Gary Russell,Costume,2004,4.52,224,12
91,7195303,The Known World,Edward P. Jones,African American plantation owners,2004,3.83,388,437
92,7195710,Discover Your Destiny with the Monk Who Sold His Ferrari,Robin Sharma,Conduct of life,2004,3.9,240,1956
93,7204442,Naked Lunch,William S. Burroughs,Alienation (Social psychology),2005,3.44,289,478
94,7204469,Tropic of Cancer,Henry Miller,Fiction,2005,3.69,336,709
95,7205589,Close Range,Annie Proulx,Cowboys,2006,3.99,318,466
96,20199856,The Love of the Last Tycoon,F. Scott Fitzgerald,Fiction,1994,3.65,169,6836
97,20264739,The Song of Rhiannon,Evangeline Walton,Fiction,1992,4.02,208,247
98,20360754,Heart Songs and Other Stories,Annie Proulx,Fiction,1995,3.93,203,1822
99,20442602,The voyage of the Dawn Treader,Clive Staples Lewis,Juvenile Fiction,1970,4.09,216,2869
100,20442807,"The Chronicles of Narnia: Lion, the witch and the wardrobe",Clive Staples Lewis,Fairy tales,1978,4.26,1425,1446
101,20518609,The Short Stories of Ernest Hemingway,Ernest Hemingway,Fiction,1986,4.26,499,106
102,20867409,"The Screwtape Letters ; With, Screwtape Proposes a Toast",Clive Staples Lewis,Christianity,1982,4.22,172,313
103,23513209,Reason in History,Georg Wilhelm Friedrich Hegel,Philosophy,1953,3.64,95,430
104,24181900,The Elements of Style,William Strunk;Elwyn Brooks White,Language Arts & Disciplines,1979,4.2,85,204
105,24266400,The Presocratics,Philip Wheelwright,Philosophy,1966,4.04,352,199
106,26995018,Spandau,Albert Speer,History,1976,4.12,463,6
107,27054900,The Rumble Seat Pony,Clarence William Anderson,"Animals, Treatment of",1971,4.17,46,24
108,27897508,The Journey with Grandmother,Edith Unnerstad,Grandmothers,1960,3.75,197,3
109,29131693,Tyranny of the Majority,Lani Guinier,History,1995,3.82,352,39
110,29221307,The Origins of the Civil Rights Movement,Aldon D. Morris,History,1986,4.04,368,145
111,29227968,Presidential Power and the Modern Presidents,Richard E. Neustadt,History,1991,3.79,384,277
112,30420563,"Rest, Rabbit, Rest",Jacquelyn Reinach;Richard Hefter,Juvenile Fiction,1978,4.01,32,88
113,30547741,Where the Red Fern Grows,Wilson Rawls,Juvenile Fiction,2000,4.37,288,95
114,60000147,Poppy's Return,Avi,Juvenile Fiction,2006,3.99,256,1086
115,60001534,Diary of a Spider,Doreen Cronin,Juvenile Fiction,2005,4.25,40,7903
116,60004509,An Old-Fashioned Thanksgiving,Louisa May Alcott;James Bernardin,Juvenile Fiction,2005,3.7,32,599
117,60005696,The Paradox of Choice,Barry Schwartz,Business & Economics,2005,3.84,265,23734
118,60009420,How to Read Literature Like a Professor,Thomas C. Foster,Literary Criticism,2003,3.65,314,14917
119,60012340,The Amazing Maurice and His Educated Rodents,Terry Pratchett,Juvenile Fiction,2001,4.05,256,27463
120,60012382,The Wee Free Men,Terry Pratchett,Juvenile Fiction,2004,4.27,390,72982
121,60013133,Going Postal,Terry Pratchett,Fiction,2004,4.38,377,924
122,60084383,Modern Mind,Peter Watson,Science,2002,4.27,847,570
123,60085444,She Went All the Way,Meg Cabot,Fiction,2002,3.69,357,12297
124,60085495,Island,Aldous Huxley,Fiction,1962,3.85,354,17583
125,60088745,A Year in the Life of William Shakespeare,James Shapiro,Biography & Autobiography,2006,4.09,333,2229
126,60090375,Lucy Sullivan Is Getting Married,Marian Keyes,Fiction,2002,3.76,640,42096
127,60092572,The Terminal Man,Michael Crichton,Fiction,2002,3.36,266,20825
128,60093749,The Art of the Novel,Milan Kundera,Literary Criticism,2003,3.96,176,3544
129,60094931,The Bromeliad Trilogy,Terry Pratchett,Juvenile Fiction,2003,4.06,502,5681
130,60099453,"Merry Christmas, Amelia Bedelia",Peggy Parish,Juvenile Fiction,2002,4.29,64,2452
131,60175648,Identity,Milan Kundera,Fiction,1998,3.68,176,260
132,60177241,The thief of always,Clive Barker,Fiction,1992,4.19,225,22123
133,60192500,The Illustrated Alchemist,Paulo Coelho;Alan R. Clarke;Moebius,Fiction,1998,3.85,198,236
134,60192771,Mars and Venus Book of Days,John Gray,Family & Relationships,1998,3.54,368,18
135,60218053,The Last of the Really Great Whangdoodles,Julie Andrews Edwards,Juvenile Fiction,1996,4.25,209,9963
136,60245603,Today I Feel Silly & Other Moods That Make My Day,Jamie Lee Curtis,Juvenile Fiction,1998,4.15,40,4030
137,60256575,The Missing Piece Meets the Big O,Shel Silverstein,Juvenile Fiction,1981,4.33,104,10010
138,60256753,"Lafcadio, the Lion Who Shot Back",Shel Silverstein,Juvenile Fiction,1963,4.15,112,5191
139,60277408,The Secret Garden Cookbook,Amy Cotler,Juvenile Nonfiction,1999,4.28,128,142
140,60278420,Laura's Album,William Anderson,Juvenile Nonfiction,1998,4.3,80,713
141,60391537,Quivers,Robin Quivers,African Americans in radio broadcasting,1995,3.51,341,60
142,60502959,Moonspinners,Mary Stewart,Fiction,2003,4.03,400,5868
143,60504080,Small Wonder,Barbara Kingsolver,Literary Collections,2003,4.01,264,8738
144,60506040,Worlds Enough & Time,Dan Simmons,Fiction,2002,3.75,272,923
145,60507403,The Cheese Monkeys,Chip Kidd,Fiction,2002,3.75,288,4570
146,60509058,Travels,Michael Crichton,Biography & Autobiography,2002,3.95,400,6812
147,60510854,Caesar,Colleen McCullough,Fiction,2003,4.36,928,5825
148,60510862,The Forever War,Joe Haldeman,Fiction,2003,4.15,278,103375
149,60511060,Amelia Bedelia Goes Camping,Peggy Parish,Juvenile Fiction,2003,4.14,64,2040
150,60511109,The Secret Sister,Elizabeth Lowell,Fiction,2005,3.65,416,1164
151,60511117,Amelia Bedelia Helps Out,Peggy Parish,Juvenile Fiction,2005,4.25,64,7678
152,60511133,Whirlpool,Elizabeth Lowell,Fiction,2006,3.78,448,1115
153,60511141,"Teach Us, Amelia Bedelia",Peggy Parish,Juvenile Fiction,2004,4.21,64,3069
154,60512806,Cryptonomicon,Neal Stephenson,Fiction,2002,4.25,1139,80225
155,60513098,Falling Up,Shel Silverstein,Juvenile Nonfiction,2002,4.34,178,114058
156,60515198,Anansi Boys,Neil Gaiman,Fiction,2006,4.02,387,153485
157,60515228,Fragile Things,Neil Gaiman,Fiction,2006,4.01,360,43210
158,60516054,What Went Wrong?,Bernard Lewis,History,2003,3.49,186,2409
159,60518650,Letters from the Earth,Mark Twain,Literary Criticism,2004,4.22,321,6447
160,60519134,Savannah Blues,Mary Kay Andrews,Fiction,2003,3.98,404,15417
161,60521228,The Whipping Boy,Sid Fleischman,Juvenile Fiction,2003,3.56,90,19910
162,60521996,The Innovator's Dilemma,Clayton M. Christensen,Business & Economics,2003,3.99,286,28568
163,60524936,A Nose for Murder,Lee Charles Kelley,Fiction,2003,3.47,267,93
164,60525100,Happiness,Will Ferguson,Fiction,2003,3.78,320,2191
